#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate.Subsampled_Continents_aligned_N5000_subsampled	gammaShape.Subsampled_Continents_aligned_N5000_subsampled	rateAC.Subsampled_Continents_aligned_N5000_subsampled	rateAG.Subsampled_Continents_aligned_N5000_subsampled	rateAT.Subsampled_Continents_aligned_N5000_subsampled	rateCG.Subsampled_Continents_aligned_N5000_subsampled	rateGT.Subsampled_Continents_aligned_N5000_subsampled	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.1	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.2	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.3	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.4	popSize	CoalescentConstant	rateIndicator.Continent.1	rateIndicator.Continent.2	rateIndicator.Continent.3	rateIndicator.Continent.4	rateIndicator.Continent.5	rateIndicator.Continent.6	rateIndicator.Continent.7	rateIndicator.Continent.8	rateIndicator.Continent.9	rateIndicator.Continent.10	rateIndicator.Continent.11	rateIndicator.Continent.12	rateIndicator.Continent.13	rateIndicator.Continent.14	rateIndicator.Continent.15	relativeGeoRates.Continent.1	relativeGeoRates.Continent.2	relativeGeoRates.Continent.3	relativeGeoRates.Continent.4	relativeGeoRates.Continent.5	relativeGeoRates.Continent.6	relativeGeoRates.Continent.7	relativeGeoRates.Continent.8	relativeGeoRates.Continent.9	relativeGeoRates.Continent.10	relativeGeoRates.Continent.11	relativeGeoRates.Continent.12	relativeGeoRates.Continent.13	relativeGeoRates.Continent.14	relativeGeoRates.Continent.15	traitClockRate.Continent	geoSubstModelLogger.Continent.relGeoRate_Africa_Asia	geoSubstModelLogger.Continent.relGeoRate_Africa_Europe	geoSubstModelLogger.Continent.relGeoRate_Africa_North_America	geoSubstModelLogger.Continent.relGeoRate_Africa_Oceania	geoSubstModelLogger.Continent.relGeoRate_Africa_South_America	geoSubstModelLogger.Continent.relGeoRate_Asia_Europe	geoSubstModelLogger.Continent.relGeoRate_Asia_North_America	geoSubstModelLogger.Continent.relGeoRate_Asia_Oceania	geoSubstModelLogger.Continent.relGeoRate_Asia_South_America	geoSubstModelLogger.Continent.relGeoRate_Europe_North_America	geoSubstModelLogger.Continent.relGeoRate_Europe_Oceania	geoSubstModelLogger.Continent.relGeoRate_Europe_South_America	geoSubstModelLogger.Continent.relGeoRate_North_America_Oceania	geoSubstModelLogger.Continent.relGeoRate_North_America_South_America	geoSubstModelLogger.Continent.relGeoRate_Oceania_South_America	YuleModel	birthRate
8077000	-69785.7135863821	-26960.92682657616	-42824.78675980594	-23636.520473506105	108.64618120107872	3806.3419673288713	0.00239404382607888	0.6717575413012198	0.0535809435225075	0.41907450963398946	0.07421000980682618	0.032379796577967364	0.11565465460232296	0.31523554784013225	0.3090345486270884	0.23033399055044154	0.14539591298233792	64.58656333143306	-25862.770428341406	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0.756503903206938	0.4304147427659989	0.4593056582806061	1.2040310729115984	1.340083678310501	0.7592677685795822	1.3927985621563825	2.2578562136255456	3.2577261991483106	2.4142809851811746	1.4434141872349666	0.42616074949356225	1.3482690830091706	0.5785570234776	0.5119636028503946	0.31260057424379556	0.0	0.4304147427659989	0.4593056582806061	0.0	0.0	0.7592677685795822	1.3927985621563825	2.2578562136255456	0.0	2.4142809851811746	1.4434141872349666	0.0	1.3482690830091706	0.5785570234776	0.5119636028503946	-16924.967576581428	0.09046018172290701
8078000	-69789.5010070151	-26970.416085266053	-42819.084921749054	-23639.30230784037	107.70013636221069	3800.4462690744103	0.002480818104088393	0.6719446303866584	0.05356854371131802	0.41905065291906446	0.07419924319204602	0.03239785051734095	0.11566607292316669	0.3158595060305947	0.30862159717179494	0.23030045417485548	0.1452184426227549	66.21010009264155	-25852.016406566436	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.3162380439274293	0.7133198645166596	0.3357017434732854	2.7291308249891846	0.998874685891221	0.6726198413819077	1.8394867522474179	3.292902855420925	2.556042361823032	3.3193472207218493	2.1819120048220806	0.45805829527239433	1.675714555312785	1.2913073324242472	0.7643921988027943	0.3106328088505922	0.0	0.7133198645166596	0.3357017434732854	0.0	0.0	0.6726198413819077	1.8394867522474179	3.292902855420925	0.0	3.3193472207218493	2.1819120048220806	0.0	1.675714555312785	1.2913073324242472	0.7643921988027943	-16924.434250646005	0.09046018172290701
8079000	-69778.8615986175	-26956.153091348875	-42822.708507268624	-23630.59950523648	109.30357579256173	3805.7387553744593	0.0023128110549589555	0.6721669079920699	0.05356384348056985	0.4190281384059917	0.0742278375146278	0.032405442633418706	0.11568546313177776	0.3165409600490541	0.30817691264209346	0.2302924779258223	0.1449896493830301	63.53327087587969	-25857.65097409273	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.4724528993762207	0.6672950880800417	0.45632874675763385	1.7107138263508346	0.5090539428818409	1.0218917388222113	1.719367826764387	3.4244484482392616	0.5509620162413107	4.211583429113678	1.952823626460842	0.47950795494407633	2.367443169557738	0.9139287155210094	0.7206157398945915	0.3194602321542817	0.0	0.6672950880800417	0.45632874675763385	0.0	0.0	1.0218917388222113	1.719367826764387	3.4244484482392616	0.0	4.211583429113678	1.952823626460842	0.0	2.367443169557738	0.9139287155210094	0.7206157398945915	-16924.39963307809	0.09115539128648269
8080000	-69764.85651847394	-26945.490137508503	-42819.36638096543	-23623.121920708614	109.30357579256173	3803.9392913600373	0.002420774804979558	0.6721669079920699	0.05356384348056985	0.4190281384059917	0.0742278375146278	0.032405442633418706	0.11568546313177776	0.3165409600490541	0.30817691264209346	0.2302924779258223	0.1449896493830301	65.22517938870777	-25851.673268359	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.5132756061411847	0.6062596419862444	0.6944826270506269	0.8104150498728023	0.7598924487739438	0.923676244124062	2.0478386041300087	4.538327725490391	0.9418844448829893	4.559683871789977	2.214911383642528	0.36271176774966984	2.2279254510396913	1.2924508778265438	0.7429017856517693	0.31982379633256885	0.0	0.6062596419862444	0.6944826270506269	0.0	0.0	0.923676244124062	2.0478386041300087	4.538327725490391	0.0	4.559683871789977	2.214911383642528	0.0	2.2279254510396913	1.2924508778265438	0.7429017856517693	-16924.949573648875	0.09385022596922914
8081000	-69770.48728044964	-26951.184992823666	-42819.30228762598	-23621.847681570554	107.56291994035709	3800.118538611119	0.0024678792129414415	0.6721669079920699	0.05356384348056985	0.4190281384059917	0.0742278375146278	0.032405442633418706	0.11568546313177776	0.3165409600490541	0.30817691264209346	0.2302924779258223	0.1449896493830301	65.22517938870777	-25853.08996515471	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.3753979206687372	0.6772224023198302	0.9577156778396674	0.37962197185589314	0.37954808909667254	1.0633507055728333	2.22413232821143	3.8046041170348097	1.5998021987372129	4.095211822387225	2.6043547019907027	0.35947091896202493	2.539717642603198	1.2721461455338339	0.7894411394530193	0.29401359030302143	0.0	0.6772224023198302	0.9577156778396674	0.0	0.0	1.0633507055728333	2.22413232821143	3.8046041170348097	0.0	4.095211822387225	2.6043547019907027	0.0	2.539717642603198	1.2721461455338339	0.7894411394530193	-16923.66776914347	0.09179876214669443
8082000	-69767.88636771924	-26954.468934542583	-42813.41743317666	-23628.37099863295	107.8223241378434	3797.9614268118316	0.002505840377427179	0.6721669079920699	0.06958843011422942	0.4190281384059917	0.0742278375146278	0.032405442633418706	0.11568546313177776	0.3165409600490541	0.30817691264209346	0.2302924779258223	0.1449896493830301	63.07057197525696	-25851.07812570453	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0.555462644409472	0.7093149910398058	0.5707750964636128	0.2607176581306527	0.42362281266202717	0.8048184883824329	1.7474411522237439	3.254581719589226	1.786557691301287	3.089337263492884	2.0146556193893175	0.4916273018293354	2.2779726321317457	0.8819136470604382	0.4416233299678414	0.33619616403794195	0.0	0.7093149910398058	0.5707750964636128	0.0	0.0	0.8048184883824329	1.7474411522237439	3.254581719589226	0.0	3.089337263492884	2.0146556193893175	0.0	2.2779726321317457	0.8819136470604382	0.4416233299678414	-16924.255443939597	0.09041288230548498
8083000	-69774.50138075012	-26948.003445273316	-42826.49793547681	-23624.95309230017	107.8223241378434	3800.235338931869	0.0023546521223675614	0.7435935732528652	0.06958843011422942	0.4190281384059917	0.04729900522774648	0.032405442633418706	0.11568546313177776	0.3165409600490541	0.30817691264209346	0.2302924779258223	0.1449896493830301	62.88517850613294	-25866.19457771782	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0.717901076127238	0.5467942945350275	0.460000050334719	0.1695437671837477	0.4965580217308582	0.783583967417313	1.6384712740092386	3.23273954029288	1.9521023877991244	3.139751769206007	1.6072049431211815	0.3434065893678244	1.4700172014586745	1.0364963885090384	0.4609984838044439	0.3081173384026127	0.0	0.5467942945350275	0.460000050334719	0.0	0.0	0.783583967417313	1.6384712740092386	3.23273954029288	0.0	3.139751769206007	1.6072049431211815	0.0	1.4700172014586745	1.0364963885090384	0.4609984838044439	-16923.923829008705	0.09300093577325197
8084000	-69780.65309568218	-26957.179955158375	-42823.47314052381	-23630.457955408096	107.69477669989895	3799.6388708863174	0.0023536442649627494	0.743393587486953	0.06960593351195972	0.41915544006634275	0.047286414867763506	0.03241018499621036	0.11567340920175577	0.31632764223261195	0.3082985896284468	0.23033857711278435	0.14503519102615686	64.73822753356033	-25863.584138241134	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.4384449146080822	0.5868117871696843	0.5108047170475912	0.7078429219735736	0.42355112400880507	0.8454780041266928	1.3847359546696199	2.5047665904508998	1.60406246893238	2.613806242834789	1.470003545825365	0.3953209105021593	1.4122020543210305	0.7984074567879967	0.44328746649197326	0.3044972271717865	0.0	0.5868117871696843	0.5108047170475912	0.0	0.0	0.8454780041266928	1.3847359546696199	2.5047665904508998	0.0	2.613806242834789	1.470003545825365	0.0	1.4122020543210305	0.7984074567879967	0.44328746649197326	-16924.40887000536	0.09371331678844096
8085000	-69796.43920767134	-26971.861827972927	-42824.577379698414	-23642.79255077377	107.69477669989895	3799.8292230170846	0.0023491603908079063	0.743393587486953	0.056018108817998014	0.41915544006634275	0.047286414867763506	0.03241018499621036	0.11567340920175577	0.31632764223261195	0.3082985896284468	0.23033857711278435	0.14503519102615686	64.73822753356033	-25864.30504190784	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	2.6086685739424462	0.39533978237988754	0.4253815111226462	0.4246365115995607	0.4989705328538089	0.5881085459422714	1.308827645034569	2.6927903602126086	2.656537508101661	2.6465015433944936	1.460031811723909	0.2997942080032899	1.2296424451540409	0.8152624860791269	0.37154135490754614	0.3044972271717865	0.0	0.39533978237988754	0.4253815111226462	0.0	0.0	0.5881085459422714	1.308827645034569	2.6927903602126086	0.0	2.6465015433944936	1.460031811723909	0.0	1.2296424451540409	0.8152624860791269	0.37154135490754614	-16923.71737169987	0.09148533257281571
8086000	-69801.78261149733	-26973.4977473366	-42828.28486416073	-23635.954509052543	107.6402107348976	3801.2652101797703	0.002422188752376546	0.743464802306328	0.056001273838102834	0.4190955211594337	0.04727729056679475	0.03242336053196213	0.11565141832311336	0.31608490743269524	0.3084469816092771	0.23029158639065817	0.14517652456736957	65.96794599815223	-25867.63767135235	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.7166416310737502	0.420616514083748	0.3481561899781051	0.5745022852193079	0.756709006602367	0.5259957128121542	1.455854253192892	2.1372494156512514	2.2567243672518345	2.714644204693076	1.3994755277505668	1.9801431226634638	1.3543670248990927	0.4991000116486128	0.4674123879490176	0.3172165226706936	0.0	0.420616514083748	0.3481561899781051	0.0	0.0	0.5259957128121542	1.455854253192892	2.1372494156512514	0.0	2.714644204693076	1.3994755277505668	0.0	1.3543670248990927	0.4991000116486128	0.4674123879490176	-16923.848743462968	0.09148533257281571
8087000	-69797.93923110966	-26982.655257702318	-42815.28397340734	-23640.882829705293	107.64015511988289	3797.7728952506	0.0026576102294355603	0.7436934098339315	0.055994520337693705	0.41904526275252196	0.0472931021682876	0.03243374117728784	0.1156465424370718	0.3170548077093454	0.3078692616170214	0.2302567178991075	0.14481921277452575	66.09441579359107	-25858.470487691826	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.476080544541571	0.33147252443442216	0.30461776030175597	0.5338326655943288	1.1600840022532264	0.5263855970433232	1.3093291692253037	1.9255730881002115	2.510944066675866	1.5838051680404355	0.8705032668085099	1.0190917266623363	0.9937032000621387	0.5156025769396079	0.1755554954086775	0.2962316725967591	0.0	0.33147252443442216	0.30461776030175597	0.0	0.0	0.5263855970433232	1.3093291692253037	1.9255730881002115	0.0	1.5838051680404355	0.8705032668085099	0.0	0.9937032000621387	0.5156025769396079	0.1755554954086775	-16923.447666451608	0.09227893498521424
8088000	-69801.21539944297	-26967.876839711742	-42833.33855973123	-23624.74549297898	106.61522947781346	3801.059297277257	0.0023358234676682864	0.6613239778486386	0.055990700456519354	0.4191700942139353	0.04730114135697071	0.03243645298235969	0.11562598761687869	0.3175117388353301	0.3076184465246142	0.2302309271695565	0.1446388874704992	66.01972356428303	-25874.803054631873	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0.9780454569206852	0.3609535681569856	0.29173356023970287	0.6612720789652468	2.234431710551532	0.28384838959663544	1.0749871686056778	1.721028095082358	3.0476351534108694	1.475654928527598	1.2523790435211415	1.5855236268092858	0.9529243513757183	0.6069520148248427	0.18086481203677388	0.3046820178373555	0.0	0.3609535681569856	0.29173356023970287	0.0	0.0	0.28384838959663544	1.0749871686056778	1.721028095082358	0.0	1.475654928527598	1.2523790435211415	0.0	0.9529243513757183	0.6069520148248427	0.18086481203677388	-16923.750932130468	0.09227893498521424
8089000	-69803.32724989105	-26961.364241777836	-42841.96300811321	-23614.652348465588	106.9686227569671	3804.82398410784	0.0024105668331460047	0.6613239778486386	0.055990700456519354	0.4191700942139353	0.06205305424035705	0.03243645298235969	0.11562598761687869	0.3175117388353301	0.3076184465246142	0.2302309271695565	0.1446388874704992	66.01972356428303	-25880.861271541078	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0.5463027386866351	0.30683306402994354	0.4018911204864978	0.5085581987986852	3.088397334175284	0.5790646657102039	0.9775954875333008	1.6279089601128607	3.8802940164347066	1.8321559069029594	0.9008629008972682	1.3660829488199804	1.152819405827854	0.469675655409309	0.11969223257293525	0.30512798649351663	0.0	0.30683306402994354	0.4018911204864978	0.0	0.0	0.5790646657102039	0.9775954875333008	1.6279089601128607	0.0	1.8321559069029594	0.9008629008972682	0.0	1.152819405827854	0.469675655409309	0.11969223257293525	-16925.006443560782	0.09382503409527668
