cluster_id,source_continent,cluster_root_date,cluster_root_absolute_time,cluster_size,first_tip_date,last_tip_date,tip_names,tip_dates
cluster_037,Europe,2010-08-15,2010.619178,1,2010-08-15,2010-08-15,PP_003AL4H.1/2010-08-15/North_America/450/D4,2010-08-15
cluster_038,Asia,2010-08-25,2010.649144,3,2010-12-15,2011-02-15,PP_00395MZ.1/2010-12-15/North_America/456/D9;PP_00395RR.1/2010-12-15/North_America/456/D9;PP_0039HC6.1/2011-02-15/North_America/450/D9,2010-12-15;2010-12-15;2011-02-15
cluster_039,Asia,2010-09-15,2010.70411,1,2010-09-15,2010-09-15,PP_003AL3K.1/2010-09-15/North_America/450/D9,2010-09-15
cluster_040,Europe,2010-09-19,2010.717044,2,2010-10-14,2010-10-14,PP_00390XJ.1/2010-10-15/North_America/455/G3;PP_003BG7D.1/2010-10-15/North_America/456/G3,2010-10-15;2010-10-15
cluster_041,Europe,2010-12-11,2010.943359,1,2011-02-15,2011-02-15,PP_0039GD5.1/2011-02-15/North_America/450/D4,2011-02-15
cluster_042,Oceania,2010-12-15,2010.953425,1,2010-12-15,2010-12-15,PP_003AL5F.1/2010-12-15/North_America/450/D8,2010-12-15
cluster_043,Europe,2010-12-16,2010.957327,6,2011-02-15,2011-06-15,PP_00398Z6.1/2011-02-15/North_America/455/D4;PP_0039LNG.1/2011-05-15/North_America/456/D4;PP_0039M2N.1/2011-05-15/North_America/453/D4;PP_0039WM8.1/2011-06-15/North_America/456/D4;PP_0039XEN.1/2011-06-15/North_America/456/D4;PP_003NDVG.1/2011-06-15/North_America/15900/D4,2011-02-15;2011-05-15;2011-05-15;2011-06-15;2011-06-15;2011-06-15
cluster_044,Africa,2011-02-15,2011.123288,1,2011-02-15,2011-02-15,PP_0039HB8.1/2011-02-15/North_America/450/B3,2011-02-15
cluster_045,Asia,2011-02-27,2011.157159,3,2011-06-15,2011-09-15,PP_003ADD6.1/2011-06-15/North_America/450/D9;PP_003ADF2.1/2011-09-15/North_America/450/D9;PP_003AESC.1/2011-09-15/North_America/450/D9,2011-06-15;2011-09-15;2011-09-15
cluster_046,Africa,2011-03-10,2011.187451,3,2011-09-21,2013-05-14,PP_0039Y9X.1/2011-09-22/North_America/456/B3;PP_003AN6B.1/2012-01-15/North_America/456/B3;PP_003BHB4.1/2013-05-15/North_America/450/B3,2011-09-22;2012-01-15;2013-05-15
cluster_047,Europe,2011-03-12,2011.192152,2,2011-04-14,2011-06-15,PP_003ADC8.1/2011-04-15/North_America/450/D4;PP_0039U0K.1/2011-06-15/North_America/450/D4,2011-04-15;2011-06-15
cluster_048,Europe,2011-03-15,2011.2,1,2011-03-15,2011-03-15,PP_0039GPJ.1/2011-03-15/North_America/450/D4,2011-03-15
cluster_049,Europe,2011-03-19,2011.212471,2,2011-04-14,2011-04-14,PP_0039BMT.1/2011-04-15/North_America/456/D9;PP_0039BNR.1/2011-04-15/North_America/456/D9,2011-04-15;2011-04-15
cluster_050,Europe,2011-03-26,2011.230444,1,2011-05-14,2011-05-14,PP_0039T92.1/2011-05-15/North_America/450/G3,2011-05-15
cluster_051,Africa,2011-03-29,2011.238726,4,2011-06-15,2011-11-15,PP_0039TZM.1/2011-06-15/North_America/450/D4;PP_0039U1H.1/2011-06-15/North_America/450/D4;PP_003CGEX.1/2011-08-02/North_America/623/D4;PP_003ADRF.1/2011-11-15/North_America/450/D4,2011-06-15;2011-06-15;2011-08-02;2011-11-15
cluster_052,Europe,2011-04-13,2011.279452,1,2011-04-13,2011-04-13,PP_003NFEB.1/2011-04-13/North_America/15900/D4,2011-04-13
cluster_053,Europe,2011-04-14,2011.284932,1,2011-04-14,2011-04-14,PP_0039CVA.1/2011-04-15/North_America/456/D4,2011-04-15
cluster_054,Asia,2011-04-14,2011.284932,1,2011-04-14,2011-04-14,PP_0039GQG.1/2011-04-15/North_America/450/D8,2011-04-15
cluster_055,Asia,2011-05-14,2011.367123,1,2011-05-14,2011-05-14,PP_003AL1P.1/2011-05-15/North_America/456/D9,2011-05-15
cluster_056,Europe,2011-05-24,2011.393953,2,2011-06-15,2011-06-16,PP_0039WDR.1/2011-06-15/North_America/456/D4;PP_003NDYA.1/2011-06-17/North_America/15900/D4,2011-06-15;2011-06-17
cluster_057,Europe,2011-05-27,2011.4,1,2011-05-27,2011-05-27,PP_003NFQQ.1/2011-05-27/North_America/15900/D4,2011-05-27
cluster_058,Asia,2011-06-15,2011.452055,1,2011-06-15,2011-06-15,PP_0039N5F.1/2011-06-15/North_America/455/D4,2011-06-15
cluster_059,Africa,2011-07-15,2011.53492,1,2011-11-09,2011-11-09,PP_003A1WH.1/2011-11-09/North_America/456/D4,2011-11-09
cluster_060,Europe,2011-08-15,2011.619178,1,2011-08-15,2011-08-15,PP_0039YBT.1/2011-08-15/North_America/456/D8,2011-08-15
cluster_061,Asia,2011-08-15,2011.619178,1,2011-08-15,2011-08-15,PP_003ADJV.1/2011-08-15/North_America/450/D9,2011-08-15
cluster_062,Asia,2011-08-19,2011.630477,2,2011-09-15,2012-04-15,PP_003ADKT.1/2011-09-15/North_America/450/D9;PP_003AMYT.1/2012-04-15/North_America/457/D9,2011-09-15;2012-04-15
cluster_063,Europe,2012-01-14,2012.036795,11,2012-06-15,2014-04-14,PP_003AP1L.1/2012-06-15/North_America/456/D8;PP_003AYYG.1/2012-07-15/North_America/456/D8;PP_003AZ1A.1/2012-09-15/North_America/453/D8;PP_003BDPH.1/2013-04-15/North_America/450/D8;PP_003BDSB.1/2013-04-15/North_America/450/D8;PP_003BDV5.1/2013-04-15/North_America/450/D8;PP_003BDX1.1/2013-05-15/North_America/450/D8;PP_003BH8A.1/2013-06-15/North_America/450/D8;PP_003BPBY.1/2013-09-15/North_America/450/D8;PP_003CUK8.1/2014-04-15/North_America/450/D8;PP_003CUN2.1/2014-04-15/North_America/450/D8,2012-06-15;2012-07-15;2012-09-15;2013-04-15;2013-04-15;2013-04-15;2013-05-15;2013-06-15;2013-09-15;2014-04-15;2014-04-15
cluster_064,Europe,2012-02-14,2012.122951,1,2012-02-14,2012-02-14,PP_003AN95.1/2012-02-15/North_America/456/B3,2012-02-15
cluster_065,Asia,2012-05-14,2012.368852,1,2012-05-14,2012-05-14,PP_003AGKQ.1/2012-05-15/North_America/456/B3,2012-05-15
cluster_066,Europe,2012-06-16,2012.457971,2,2012-09-15,2012-10-03,PP_003AZ8W.1/2012-09-15/North_America/453/D8;PP_003AUEP.1/2012-10-04/North_America/456/D8,2012-09-15;2012-10-04
cluster_067,Europe,2012-06-30,2012.49615,1,2012-08-14,2012-08-14,PP_003AYZE.1/2012-08-15/North_America/453/D8,2012-08-15
cluster_068,Oceania,2013-01-19,2013.049534,1,2013-04-14,2013-04-14,PP_003BEGX.1/2013-04-15/North_America/450/D8,2013-04-15
cluster_069,Oceania,2013-02-03,2013.090411,1,2013-02-03,2013-02-03,PP_003AZPZ.1/2013-02-03/North_America/456/D8,2013-02-03
cluster_070,Europe,2013-02-15,2013.123288,1,2013-02-15,2013-02-15,PP_003BKVZ.1/2013-02-15/North_America/456/D8,2013-02-15
